portfolio_manager,period,sells,buys
Pat Dorsey - Dorsey Asset Management,Q1 2023,"ROKU,SMAR,META,WIX,DIS,PYPL,SEMR,UPWK",GOOG
Polen Capital Management,Q1 2023,"IWF,ADBE,GOOG,V,GOOGL,MSFT,AON,MA","AMZN,TMO"
Prem Watsa - Fairfax Financial Holdings,Q1 2023,"ATCO-OLD,RFP-OLD,ATVI","OXY,MU,ORLA,BAC,PRVB-OLD,INTC,PNM"
Richard Pzena - Hancock Classic Value,Q1 2023,"HPE,GE,NRG,SKX,FMS,LEA","TEL,CHTR,GEHC,MDT"
Robert Olstein - Olstein Capital Management,Q1 2023,"SMG,META,BKNG,GNRC,FDX,OMC,TPR","KFY,IFF,DE"
Robert Vinall - RV Capital GmbH,Q1 2023,CACC,"IBKR,META"
"Ruane, Cunniff & Goldfarb - Sequoia Fund",Q1 2023,"META,FWONK,CNSWF,GOOGL",LMGIF
Seth Klarman - Baupost Group,Q1 2023,"META,FI,MU,QRVO,WTW,WBD,AMZN","GOOG,FIS,SWKS"
Stephen Mandel - Lone Pine Capital,Q1 2023,"TMO,AMZN,MSFT,TSM,FCNCA,V","KKR,CRM,ASML,BILL"
Steven Romick - FPA Crescent Fund,Q1 2023,"UNVR,HCMLF,AVGO,HWM,WAB,BABA,NFLX","HKHHF,IFF,NTDOF"
Terry Smith - Fundsmith,Q1 2023,"ADBE,IDXX,EL,SYK","PG,AAPL,GGG,META,MAR,MA"
Third Avenue Management,Q1 2023,"TDW,LEN.B,IVT,FPH,FNF","HA,CMA,JLL,LAZ,HCC"
Thomas Gayner - Markel Asset Management,Q1 2023,"REGN,NFLX,ENOV,HCSG","DG,GOOGL,WSO,ODFL,COF,TGT"
Thomas Russo - Gardner Russo & Quinn,Q1 2023,"UL,CFRSF,CFRHF,BRK.A,NSRGY,MA,BRK.B,HKHHF,PM",GOOG
Torray Funds,Q1 2023,"DD,SCHW,NKE,MCD,HII,ETN","AJG,VEEV,EOG,AAP"
Triple Frond Partners,Q1 2023,"V,TDG,MCO,VRSN","KKR,AMZN"
Tweedy Browne Co. - Tweedy Browne Value Fund,Q1 2023,"UL,GOOG,CMCSA","TFC,SSNLF,ALV,4368.T,4182.T,BNTGF,9715.T"
Valley Forge Capital Management,Q1 2023,"AMZN,MA,V,FICO",INTU
ValueAct Capital ,Q1 2023,"LKQ,FI,KKR,NYT","CRM,SPOT,NSIT"
Viking Global Investors,Q1 2023,"MSFT,AMZN,BSX,MU,MA","LULU,SHW,UNH,MCK,FTNT"
Wallace Weitz - Weitz Value Fund,Q1 2023,"SCHW,FIS,META,MA,LH,KMX","ACN,LSXMK"
Warren Buffett - Berkshire Hathaway,Q1 2023,"CVX,BK,TSM,RH,GM","AAPL,OXY,COF,BAC,HPQ"
William Von Mueffling - Cantillon Capital Management,Q1 2023,"FIS,GOOG,GOOGL,EDR","CDW,FERG,MSFT,CME,IBKR,SSNC"
Yacktman Asset Management,Q1 2023,"WFRD,PG,BKNG,SPY","PXD,SCHW,EWY,EOG,FANG,DVN"
